place,esite,etype,area,location,id,email,site,bu,type
 Cạnh băng tải J51 - BC6 ngang cổng chính bảo vệ,,,HS,HONC Plant,HONC-FE-FHA-HS-11,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng trệt-Trụ bên trái cửa phòng điện,,,HS,HONC Plant,HONC-FE-FHA-HS-18,S.le@siamcitycement.com,honc,vn,hydrant
 Đối diện kho hóa chất lỏng,,,HS,HONC Plant,HONC-FE-FHA-HS-32,S.le@siamcitycement.com,honc,vn,hydrant
 Nhà vòm than bên trong hướng Nam,,,HS,HONC Plant,HONC-FE-FHA-HS-100,S.le@siamcitycement.com,honc,vn,hydrant
 Họng số 5 (Dọc băng tải sicon ATS),,,HS,HONC Plant,HONC-FE-FHA-HS-109,S.le@siamcitycement.com,honc,vn,hydrant
Cửa sau phòng ăn VIP,,,HS,HONC Plant,HONC-FE-FHB-HS-02,S.le@siamcitycement.com,honc,vn,hydrant
"Cửa thoát hiểm số 1 đến khu
tập trung khẩn cấp khu vực hành chính",,,HS,HONC Plant,HONC-FE-FHB-HS-06,S.le@siamcitycement.com,honc,vn,hydrant
Block A 2,,,Admin,Housing Estate,HONC-FE-FHB-HE-09,S.le@siamcitycement.com,honc,vn,hydrant
Block C 1,,,Admin,Housing Estate,HONC-FE-FHB-HE-15,S.le@siamcitycement.com,honc,vn,hydrant
 Trước Trạm Y tế,,,HS,HONC Plant,HONC-FE-FH-HS-02,S.le@siamcitycement.com,honc,vn,hydrant
 Băng tải cảng_Cột số 25,,,HS,HONC Plant,HONC-FE-FHA-HS-07,S.le@siamcitycement.com,honc,vn,hydrant
Trạm điện trước nhà máy điện,,,HS,HONC Plant,HONC-FE-FHA-HS-34,S.le@siamcitycement.com,honc,vn,hydrant
 Bên cạnh Máy nghiền Xi măng hướng Bắc,,,HS,HONC Plant,HONC-FE-FHA-HS-37,S.le@siamcitycement.com,honc,vn,hydrant
" Giữa nhà vòm đá vôi hướng Bắc, Trụ số 2",,,HS,HONC Plant,HONC-FE-FHA-HS-58,S.le@siamcitycement.com,honc,vn,hydrant
 Cuối kho CTKNH 1,,,HS,HONC Plant,HONC-FE-FHA-HS-70,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng 2 máy nghiền than ( Trụ số 1 ),,,HS,HONC Plant,HONC-FE-FHA-HS-84,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng 3 máy nghiền than ( Trụ số 3 ),,,HS,HONC Plant,HONC-FE-FHA-HS-88,S.le@siamcitycement.com,honc,vn,hydrant
Tầng 2 bên trong xưởng cơ khí chính,,,HS,HONC Plant,HONC-FE-FHB-HS-12,S.le@siamcitycement.com,honc,vn,hydrant
Tầng 1 khu vực CCR,,,HS,HONC Plant,HONC-FE-FHB-HS-14,S.le@siamcitycement.com,honc,vn,hydrant
Villa 1,,,Admin,Housing Estate,HONC-FE-FH-HE-01,S.le@siamcitycement.com,honc,vn,hydrant
Block C 12,,,Admin,Housing Estate,HONC-FE-FHB-HE-16,S.le@siamcitycement.com,honc,vn,hydrant
 Cuối thềm cảng_Cột số 3,,,HS,HONC Plant,HONC-FE-FHA-HS-01,S.le@siamcitycement.com,honc,vn,hydrant
Tầng 1-Trụ bên phải đầu cầu thang,,,HS,HONC Plant,HONC-FE-FHA-HS-21,S.le@siamcitycement.com,honc,vn,hydrant
 Bên trong kho rửa phi,,,HS,HONC Plant,HONC-FE-FHA-HS-48,S.le@siamcitycement.com,honc,vn,hydrant
 Nhà vòm than bên trong hướng Nam,,,HS,HONC Plant,HONC-FE-FHA-HS-56,S.le@siamcitycement.com,honc,vn,hydrant
 Nhà vòm than bên trong hướng Nam,,,HS,HONC Plant,HONC-FE-FHA-HS-99,S.le@siamcitycement.com,honc,vn,hydrant
 Nhà vòm than bên trong hướng Bắc,,,HS,HONC Plant,HONC-FE-FHA-HS-103,S.le@siamcitycement.com,honc,vn,hydrant
 Họng số 6 (Dọc băng tải sicon ATS),,,HS,HONC Plant,HONC-FE-FHA-HS-110,S.le@siamcitycement.com,honc,vn,hydrant
"Chân Silo Xi măng số 3, nhà máy đóng bao",,,HS,HONC Plant,HONC-FE-FHB-HS-18,S.le@siamcitycement.com,honc,vn,hydrant
T 3,,,Admin,Housing Estate,HONC-FE-FHA-HE-08,S.le@siamcitycement.com,honc,vn,hydrant
Trạm điện,,,Admin,Housing Estate,HONC-FE-FHA-HE-12,S.le@siamcitycement.com,honc,vn,hydrant
Block A8,,,Admin,Housing Estate,HONC-FE-FHB-HE-12,S.le@siamcitycement.com,honc,vn,hydrant
Terrace House 3,,,Admin,Housing Estate,HONC-FE-FHB-HE-18,S.le@siamcitycement.com,honc,vn,hydrant
Terrace House 3,,,Admin,Housing Estate,HONC-FE-FHB-HE-19,S.le@siamcitycement.com,honc,vn,hydrant
 Xưởng cơ khí mỏ Hướng Bắc,,,HS,HONC Plant,HONC-FE-FH-HS-05,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng 2-Trụ bên phải đầu cầu thang,,,HS,HONC Plant,HONC-FE-FHA-HS-23,S.le@siamcitycement.com,honc,vn,hydrant
 Phía trước bên trái kho hóa chất lỏng,,,HS,HONC Plant,HONC-FE-FHA-HS-31,S.le@siamcitycement.com,honc,vn,hydrant
 Phía sau Nhà cấp liệu cho Máy nghiền bột sống,,,HS,HONC Plant,HONC-FE-FHA-HS-43,S.le@siamcitycement.com,honc,vn,hydrant
 Đầu xưởng cơ khí ECO,,,HS,HONC Plant,HONC-FE-FHA-HS-76,S.le@siamcitycement.com,honc,vn,hydrant
 Phía đông Pallettizer 2,,,HS,HONC Plant,HONC-FE-FHA-HS-81,S.le@siamcitycement.com,honc,vn,hydrant
 Họng số 3 (Dọc băng tải sicon ATS),,,HS,HONC Plant,HONC-FE-FHA-HS-107,S.le@siamcitycement.com,honc,vn,hydrant
 Họng số 4 (Dọc băng tải sicon ATS),,,HS,HONC Plant,HONC-FE-FHA-HS-108,S.le@siamcitycement.com,honc,vn,hydrant
Bên trong phía nam kho Pallettizer 1,,,HS,HONC Plant,HONC-FE-FHB-HS-20,S.le@siamcitycement.com,honc,vn,hydrant
Bên trong phía nam kho Pallettizer 2 ( số 2 ),,,HS,HONC Plant,HONC-FE-FHB-HS-27,S.le@siamcitycement.com,honc,vn,hydrant
Phòng hành chính,,,Admin,Housing Estate,HONC-FE-FH-HE-13,S.le@siamcitycement.com,honc,vn,hydrant
 Trước CCR,,,HS,HONC Plant,HONC-FE-FHA-HS-12,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng 2-Trụ bên trái cầu thang( cửa phòng điện ),,,HS,HONC Plant,HONC-FE-FHA-HS-24,S.le@siamcitycement.com,honc,vn,hydrant
 Bên trong trạm điện 110KV,,,HS,HONC Plant,HONC-FE-FHA-HS-36,S.le@siamcitycement.com,honc,vn,hydrant
 Sau Đuôi lò_khu làm nguội Clinker,,,HS,HONC Plant,HONC-FE-FHA-HS-38,S.le@siamcitycement.com,honc,vn,hydrant
 Bên phải kho ATS,,,HS,HONC Plant,HONC-FE-FHA-HS-50,S.le@siamcitycement.com,honc,vn,hydrant
 Trước Kho CTKNH 1 ( Trụ số 2 ),,,HS,HONC Plant,HONC-FE-FHA-HS-71,S.le@siamcitycement.com,honc,vn,hydrant
 Đầu kho CTKNH1 ( trụ số 2 ),,,HS,HONC Plant,HONC-FE-FHA-HS-74,S.le@siamcitycement.com,honc,vn,hydrant
 Đầu xưởng cơ khí ECO phía trong,,,HS,HONC Plant,HONC-FE-FHA-HS-75,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng 1 máy nghiền than,,,HS,HONC Plant,HONC-FE-FHA-HS-83,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng 3 máy nghiền than ( Trụ số 1 ),,,HS,HONC Plant,HONC-FE-FHA-HS-86,S.le@siamcitycement.com,honc,vn,hydrant
 Silo Kho cấp trấu lò nung,,,HS,HONC Plant,HONC-FE-FHA-HS-96,S.le@siamcitycement.com,honc,vn,hydrant
Bên trong phía đông kho Pallettizer 1,,,HS,HONC Plant,HONC-FE-FHB-HS-24,S.le@siamcitycement.com,honc,vn,hydrant
T 2,,,Admin,Housing Estate,HONC-FE-FHA-HE-10,S.le@siamcitycement.com,honc,vn,hydrant
Villa 5,,,Admin,Housing Estate,HONC-FE-FHB-HE-05,S.le@siamcitycement.com,honc,vn,hydrant
Villa 6,,,Admin,Housing Estate,HONC-FE-FHB-HE-06,S.le@siamcitycement.com,honc,vn,hydrant
 Góc phía tây kho CTNH rắn,,,HS,HONC Plant,HONC-FE-FHA-HS-46,S.le@siamcitycement.com,honc,vn,hydrant
 Phía trước kho tiền xử lý CTNH,,,HS,HONC Plant,HONC-FE-FHA-HS-47,S.le@siamcitycement.com,honc,vn,hydrant
 Giữa nhà vòm đá vôi bên ngoài hướng Nam,,,HS,HONC Plant,HONC-FE-FHA-HS-60,S.le@siamcitycement.com,honc,vn,hydrant
 Phía tây Pallettizer 1,,,HS,HONC Plant,HONC-FE-FHA-HS-63,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng 2 máy nghiền than ( Trụ số 2 ),,,HS,HONC Plant,HONC-FE-FHA-HS-85,S.le@siamcitycement.com,honc,vn,hydrant
 Nhà vòm than bên trong hướng Bắc,,,HS,HONC Plant,HONC-FE-FHA-HS-101,S.le@siamcitycement.com,honc,vn,hydrant
Cửa sau nhà bếp hướng Tây,,,HS,HONC Plant,HONC-FE-FHB-HS-01,S.le@siamcitycement.com,honc,vn,hydrant
"Chân Silo Xi măng số 4, nhà máy đóng bao",,,HS,HONC Plant,HONC-FE-FHB-HS-19,S.le@siamcitycement.com,honc,vn,hydrant
Bên trong phía đông kho Pallettizer 2,,,HS,HONC Plant,HONC-FE-FHB-HS-31,S.le@siamcitycement.com,honc,vn,hydrant
Villa 2,,,Admin,Housing Estate,HONC-FE-FH-HE-02,S.le@siamcitycement.com,honc,vn,hydrant
Villa 8,,,Admin,Housing Estate,HONC-FE-FHB-HE-08,S.le@siamcitycement.com,honc,vn,hydrant
Terrace House 3,,,Admin,Housing Estate,HONC-FE-FHB-HE-17,S.le@siamcitycement.com,honc,vn,hydrant
Terrace House 2,,,Admin,Housing Estate,HONC-FE-FHB-HE-26,S.le@siamcitycement.com,honc,vn,hydrant
 Băng tải cảng_Cột số 55_Bên cạnh tỉnh lộ 11,,,HS,HONC Plant,HONC-FE-FHA-HS-09,S.le@siamcitycement.com,honc,vn,hydrant
 Dưới đường băng tải_Gần bồn dầu nhẹ,,,HS,HONC Plant,HONC-FE-FHA-HS-28,S.le@siamcitycement.com,honc,vn,hydrant
 Đối diện Máy nghiền than hướng Nam,,,HS,HONC Plant,HONC-FE-FHA-HS-42,S.le@siamcitycement.com,honc,vn,hydrant
 Tầng 4 máy nghiền than,,,HS,HONC Plant,HONC-FE-FHA-HS-89,S.le@siamcitycement.com,honc,vn,hydrant
 Sau Xưởng cơ khí chính-số 2,,,HS,HONC Plant,HONC-FE-FHA-HS-91,S.le@siamcitycement.com,honc,vn,hydrant
Tầng 2 Tháp tiền nung (sàn đầu lò),,,HS,HONC Plant,HONC-FE-FHB-HS-15,S.le@siamcitycement.com,honc,vn,hydrant
Block B 10,,,Admin,Housing Estate,HONC-FE-FHB-HE-14,S.le@siamcitycement.com,honc,vn,hydrant
Terrace House 2,,,Admin,Housing Estate,HONC-FE-FHB-HE-25,S.le@siamcitycement.com,honc,vn,hydrant
 Đầu nhà vòm đá vôi hướng Tây,,,HS,HONC Plant,HONC-FE-FHA-HS-51,S.le@siamcitycement.com,honc,vn,hydrant
 Dưới đường băng tải từ cối đá đến PGNAA,,,HS,HONC Plant,HONC-FE-FHA-HS-66,S.le@siamcitycement.com,honc,vn,hydrant
Cửa vào Trạm y tế (bên trái),,,HS,HONC Plant,HONC-FE-FHB-HS-05,S.le@siamcitycement.com,honc,vn,hydrant
Bên trong phía bắc kho Pallettizer 1 ( số 2),,,HS,HONC Plant,HONC-FE-FHB-HS-23,S.le@siamcitycement.com,honc,vn,hydrant
Bên trong phía bắc kho Pallettizer 2 ( số 2),,,HS,HONC Plant,HONC-FE-FHB-HS-30,S.le@siamcitycement.com,honc,vn,hydrant
 Giữa cầu dẫn ra cảng,,,HS,HONC Plant,HONC-FE-FHA-HS-03,S.le@siamcitycement.com,honc,vn,hydrant
 Băng tải cảng_Cột số 48,,,HS,HONC Plant,HONC-FE-FHA-HS-08,S.le@siamcitycement.com,honc,vn,hydrant
 Băng tải cảng_Cột số 65,,,HS,HONC Plant,HONC-FE-FHA-HS-10,S.le@siamcitycement.com,honc,vn,hydrant
 Phía sau kho URE,,,HS,HONC Plant,HONC-FE-FHA-HS-44,S.le@siamcitycement.com,honc,vn,hydrant
 Cuối nhà vòm đá vôi hướng Bắc,,,HS,HONC Plant,HONC-FE-FHA-HS-59,S.le@siamcitycement.com,honc,vn,hydrant
 Sau Xưởng cơ khí chính-số1,,,HS,HONC Plant,HONC-FE-FHA-HS-90,S.le@siamcitycement.com,honc,vn,hydrant
Bên trong phía bắc kho Pallettizer 2 ( số 1),,,HS,HONC Plant,HONC-FE-FHB-HS-29,S.le@siamcitycement.com,honc,vn,hydrant
Block A 1,,,Admin,Housing Estate,HONC-FE-FH-HE-03,S.le@siamcitycement.com,honc,vn,hydrant
Villa 1,,,Admin,Housing Estate,HONC-FE-FHB-HE-01,S.le@siamcitycement.com,honc,vn,hydrant
Villa 7,,,Admin,Housing Estate,HONC-FE-FHB-HE-07,S.le@siamcitycement.com,honc,vn,hydrant
Terrace House 2,,,Admin,Housing Estate,HONC-FE-FHB-HE-24,S.le@siamcitycement.com,honc,vn,hydrant
Kho chất thải lỏng nguy hại,,,Kho chất thải lỏng nguy hại,Liquid Store,HONC-FE-Foarm3,thao.duong@siamcitycement.com,honc,vn,foam
Kho chứa Oxy,,,Kho chứa Oxy,Oxy Storage,HONC-FE-Foarm6,thao.duong@siamcitycement.com,honc,vn,foam
Trạm điện 110kv,,,Trạm điện 110kv,National power grid station 110kV,HONC-FE-Foarm7,thao.duong@siamcitycement.com,honc,vn,foam
Kho chất thải rắn nguy hại,,,Kho chất thải rắn nguy hại,ECO SW Storagse 1,HONC-FE-Foarm1,thao.duong@siamcitycement.com,honc,vn,foam
Bồn dầu DO,,,Bồn dầu DO,DO tank,HONC-FE-Foarm5,thao.duong@siamcitycement.com,honc,vn,foam
Mutiflex tầng 4,,,Mutiflex tầng 4,Mutiflex tầng 4,HONC-FE-Foarm8,thao.duong@siamcitycement.com,honc,vn,foam
"Kho ATS
",,,"Kho ATS
",ECO ATS Storagse,HONC-FE-Foarm4,thao.duong@siamcitycement.com,honc,vn,foam
Kho chất thải rắn nguy hại,,,Kho chất thải rắn nguy hại,ECO SW Storagse 2,HONC-FE-Foarm2,thao.duong@siamcitycement.com,honc,vn,foam
Xe chữa cháy,,,Xe chữa cháy,Fire truck,HONC-FE-2440-I11-432,thao.duong@siamcitycement.com,honc,vn,foam
F12.Eco,,,,,HO-FAbox-01,Vn-OHS@siamcitycement.com,ho,vn,firstaidbox
F12.Com,,,,,HO-FAbox-02,Vn-OHS@siamcitycement.com,ho,vn,firstaidbox
F14.HR,,,,,HO-FAbox-03,Vn-OHS@siamcitycement.com,ho,vn,firstaidbox
Khu vực xuất Nguyên Liệu Cảng Sông,,,,,HONC-HOPPER-RM-SCN-01,trang.le@siamcitycement.com,honc,vn,slope
Limestone Crusher,,,,,HONC-HOPPER-LIMESTONE-QUARRY-01,thang.trieu@siamcitycement.com,honc,vn,slope
Mỏ Sét,,,,,HONC-HOPPER-SAND-QUARRY-02,thang.trieu@siamcitycement.com,honc,vn,slope
Đống đá vôi chất lượng cao,,,,,HONC-HOPPER-HGL-PRO-01,thai.truong@siamcitycement.com,honc,vn,slope
Trong kho than,,,,,HONC-HOPPER-COAL-IN-PRO-02,thai.truong@siamcitycement.com,honc,vn,slope
Ngoài kho than,,,,,HONC-HOPPER-COAL-OUT-PRO-03,thai.truong@siamcitycement.com,honc,vn,slope
Kho đá đỏ,,,,,HONC-HOPPER-LATERITE-PRO-04,thai.truong@siamcitycement.com,honc,vn,slope
Silo Clinker,,,,,HONC-HOPPER-CLINKER-PRO-05,thai.truong@siamcitycement.com,honc,vn,slope
Clinker Dome,,,,,HONC-HOPPER-CLINKER-DOME-PRO-06,thai.truong@siamcitycement.com,honc,vn,slope
Cement Mill,,,,,HONC-HOPPER-CEMENT-MILL-PRO-07,thai.truong@siamcitycement.com,honc,vn,slope
Mỏ Bãi Voi,,,,,HONC-SLOPE-BV-QUARRY,thang.van.pham@siamcitycement.com,honc,vn,slope
Mỏ Khoe Lá,,,,,HONC-SLOPE-KL-QUARRY,thang.van.pham@siamcitycement.com,honc,vn,slope
Mỏ sét Bình Trị,,,,,HONC-SLOPE-BT-CLAYPIT,thang.van.pham@siamcitycement.com,honc,vn,slope
"Đường khu vực kho than, kho liệu về Quarry WS",,,,,HONC-ROAD-QUARRY-01,nguyen.truong@siamcitycement.com,honc,vn,slope
"Cây Xoài, Bãi Voi và Khoe Lá",,,,,HONC-ROAD-QUARRY-02,nguyen.truong@siamcitycement.com,honc,vn,slope
Toàn bộ đường nội bộ khu vực RMP & Clinker.,,,,,HONC-ROAD-PRODUCTION-01,nguyen.truong@siamcitycement.com,honc,vn,slope
ra tới cảng Bình Trị,,,,,HONC-ROAD-PRODUCTION-02,nguyen.truong@siamcitycement.com,honc,vn,slope
thuộc khu vực nghiền xi măng & Đóng bao,,,,,HONC-ROAD-PRODUCTION-03,nguyen.truong@siamcitycement.com,honc,vn,slope
xuống văn phòng Geocycle,,,,,HONC-ROAD-ECO-01,nguyen.truong@siamcitycement.com,honc,vn,slope
Khu vực kho rắn và bồn dầu DO,,,,,HONC-ROAD-ECO-02,nguyen.truong@siamcitycement.com,honc,vn,slope
"bãi nhập/ xuất vật liệu, khu vực cầu cân",,,,,HONC-ROAD-SCN-01,nguyen.truong@siamcitycement.com,honc,vn,slope
khu nhà nghỉ Housing,,,,,HONC-ROAD-ADMIN-01,nguyen.truong@siamcitycement.com,honc,vn,slope
khu vực xưởng chính,,,,,HONC-ROAD-MM-01,nguyen.truong@siamcitycement.com,honc,vn,slope
từ cầu cân qua cổng phụ ra TL 11.,,,,,HONC-ROAD-PM-01,nguyen.truong@siamcitycement.com,honc,vn,slope
tới Nhà máy điện và xung quanh Nhà máy Điện,,,,,HONC-ROAD-EM-01,nguyen.truong@siamcitycement.com,honc,vn,slope
từ cổng chính tới TL 11,,,,,HONC-ROAD-WH-01,nguyen.truong@siamcitycement.com,honc,vn,slope
Office,,,Floor 12,,HO-FE1,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE2,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE3,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE4,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE5,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE6,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE7,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE8,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE9,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE10,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE11,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE12,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE13,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE14,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE15,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE16,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE17,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 12,,HO-FE18,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 14,,HO-FE19,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 14,,HO-FE20,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 14,,HO-FE21,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 14,,HO-FE22,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 14,,HO-FE23,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 14,,HO-FE24,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 14,,HO-FE25,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Office,,,Floor 14,,HO-FE26,Vn-OHS@siamcitycement.com,ho,vn,extinguisher
Đống Clinker trong nhà,,,,,HONC-STOCKPILE-CLINKER-IND,,honc,vn,stock
Đống 4_đá OPC,,,,,HONC-STOCKPILE-4-OPC,,honc,vn,stock
Đống Đá Đỏ,,,,,HONC-STOCKPILE-LATERITE,,honc,vn,stock
Đống bãi trữ Cây Xoài,,,,,HONC-STOCKPILE-CX-LIMESTONE,,honc,vn,stock
Đống đá sàng rung,,,,,HONC-STOCKPILE-SCREEN-OPC,,honc,vn,stock
Đống Clinker trong ngoài nhà,,,,,HONC-STOCKPILE-CLINKER-OUTD,,honc,vn,stock
Đống Slag,,,,,HONC-STOCKPILE-SLAG,,honc,vn,stock
Đống NIX khu Cây Xoài,,,,,HONC-STOCKPILE-NIX-CX,,honc,vn,stock
Đống 1-2,,,,,HONC-STOCKPILE-1-2-LIMESTONE-CLAY,,honc,vn,stock
Đống 3_đá HGLS,,,,,HONC-STOCKPILE-3-HGLS,,honc,vn,stock
Đống Thạch cao,,,,,HONC-STOCKPILE-GYPSUM,,honc,vn,stock
Đống đá Puzzolane,,,,,HONC-STOCKPILE-PUZZOLANA,,honc,vn,stock
Đống than trong nhà,,,,,HONC-STOCKPILE-COAL-IND,,honc,vn,stock
Đống than ngoài trời,,,,,HONC-STOCKPILE-COAL-OUTD,,honc,vn,stock
Đống Laterite khu Mỏ Sét,,,,,HONC-STOCKPILE-LATERITE-CLAYPIT,,honc,vn,stock
SOCT Warehouse,,,Supply Chain,,CANT-FES-SOCT-01,cuong.phu.chu@siamcitycement.com,cant,vn,extinguisher
SOCT Warehouse,,,Supply Chain,,CANT-FES-SOCT-02,cuong.phu.chu@siamcitycement.com,cant,vn,extinguisher
SOCT Warehouse,,,Supply Chain,,CANT-FES-SOCT-04,cuong.phu.chu@siamcitycement.com,cant,vn,extinguisher
CANT Warehouse,,,Supply Chain,,CANT-FES-CANT-01,trang.hong.le@siamcitycement.com,cant,vn,extinguisher
SOCT Warehouse,,,Supply Chain,,CANT-FES-SOCT-03,cuong.phu.chu@siamcitycement.com,cant,vn,extinguisher
Khu nhà căn tin,,,HS,-,HIEP-FH-HS-01,hung.le@siamcitycement.com,hiep,vn,hydrant
Khu nhà căn tin,,,HS,-,HIEP-FH-HS-02,hung.le@siamcitycement.com,hiep,vn,hydrant
Khu nhà căn tin,,,HS,-,HIEP-FH-HS-03,hung.le@siamcitycement.com,hiep,vn,hydrant
Khu nhà hành chính,,,HS,-,HIEP-FH-HS-04,hung.le@siamcitycement.com,hiep,vn,hydrant
Khu nhà hành chính,,,HS,-,HIEP-FH-HS-05,hung.le@siamcitycement.com,hiep,vn,hydrant
Kho bao cũ,,,HS,-,HIEP-FH-HS-06,hung.le@siamcitycement.com,hiep,vn,hydrant
Trạm điện 22 KV,,,HS,-,HIEP-FH-HS-07,hung.le@siamcitycement.com,hiep,vn,hydrant
Trạm điện 22 KV,,,HS,-,HIEP-FH-HS-08,hung.le@siamcitycement.com,hiep,vn,hydrant
CCR,,,HS,-,HIEP-FH-HS-09,hung.le@siamcitycement.com,hiep,vn,hydrant
Phòng Lab,,,HS,-,HIEP-FH-HS-10,hung.le@siamcitycement.com,hiep,vn,hydrant
Xưởng cơ khí,,,HS,-,HIEP-FH-HS-11,hung.le@siamcitycement.com,hiep,vn,hydrant
Kho dầu,,,HS,-,HIEP-FH-HS-12,hung.le@siamcitycement.com,hiep,vn,hydrant
Kho dầu,,,HS,-,HIEP-FH-HS-13,hung.le@siamcitycement.com,hiep,vn,hydrant
Băng tải ngang từ cảng nhập liệu lên,,,HS,-,HIEP-FH-HS-14,hung.le@siamcitycement.com,hiep,vn,hydrant
Băng tải ngang từ cảng nhập liệu lên,,,HS,-,HIEP-FH-HS-15,hung.le@siamcitycement.com,hiep,vn,hydrant
Phòng cấp nước,,,HS,-,HIEP-FH-HS-16,hung.le@siamcitycement.com,hiep,vn,hydrant
Tường rào,,,HS,-,HIEP-FH-HS-17,hung.le@siamcitycement.com,hiep,vn,hydrant
Tường rào,,,HS,-,HIEP-FH-HS-18,hung.le@siamcitycement.com,hiep,vn,hydrant
Tường rào,,,HS,-,HIEP-FH-HS-19,hung.le@siamcitycement.com,hiep,vn,hydrant
Tường rào,,,HS,-,HIEP-FH-HS-20,hung.le@siamcitycement.com,hiep,vn,hydrant
Khu xuất bao,,,HS,-,HIEP-FH-HS-21,hung.le@siamcitycement.com,hiep,vn,hydrant
Kho bao line 2,,,HS,-,HIEP-FH-HS-22,hung.le@siamcitycement.com,hiep,vn,hydrant
Nhà nghiền line 2,,,HS,-,HIEP-FH-HS-23,hung.le@siamcitycement.com,hiep,vn,hydrant
Giữa 2 silo clinker,,,HS,-,HIEP-FH-HS-24,hung.le@siamcitycement.com,hiep,vn,hydrant
Cảng Jetty,,,HS,-,HIEP-FH-HS-25,hung.le@siamcitycement.com,hiep,vn,hydrant
Cảng xuất xi măng bao,,,HS,-,HIEP-FH-HS-26,hung.le@siamcitycement.com,hiep,vn,hydrant
Kho Slag,,,HS,-,HIEP-FH-HS-27,hung.le@siamcitycement.com,hiep,vn,hydrant
Tiền nghiền tầng 2 line 1,,,,,HIEP-HS-FE-67,hung.le@siamcitycement.com,hiep,vn,extinguisher
Tiền nghiền tầng 2 line 2,,,,,HIEP-HS-FE-68,hung.le@siamcitycement.com,hiep,vn,extinguisher
Cổng bảo vệ,,,,,HIEP-HS-FE-01,hung.le@siamcitycement.com,hiep,vn,extinguisher
Nhà xe Honda,,,,,HIEP-HS-FE-02,hung.le@siamcitycement.com,hiep,vn,extinguisher
Canteen,,,,,HIEP-HS-FE-03,hung.le@siamcitycement.com,hiep,vn,extinguisher
Canteen,,,,,HIEP-HS-FE-04,hung.le@siamcitycement.com,hiep,vn,extinguisher
Khu nhà hành chính,,,,,HIEP-HS-FE-05,hung.le@siamcitycement.com,hiep,vn,extinguisher
Khu nhà hành chính,,,,,HIEP-HS-FE-06,hung.le@siamcitycement.com,hiep,vn,extinguisher
Khu nhà hành chính,,,,,HIEP-HS-FE-07,hung.le@siamcitycement.com,hiep,vn,extinguisher
Khu nhà hành chính,,,,,HIEP-HS-FE-08,hung.le@siamcitycement.com,hiep,vn,extinguisher
Kho bao cũ,,,,,HIEP-HS-FE-09,hung.le@siamcitycement.com,hiep,vn,extinguisher
Trạm Recloser,,,,,HIEP-HS-FE-10,hung.le@siamcitycement.com,hiep,vn,extinguisher
Trạm điện 22 KV,,,,,HIEP-HS-FE-11,hung.le@siamcitycement.com,hiep,vn,extinguisher
Trạm điện 22 KV,,,,,HIEP-HS-FE-12,hung.le@siamcitycement.com,hiep,vn,extinguisher
Phòng Automation,,,,,HIEP-HS-FE-13,hung.le@siamcitycement.com,hiep,vn,extinguisher
